province,phufull,season,year,week,day,date,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,Total Flu A Positive,Total Flu B Positive,Total Flu Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,Adeno Test,Adeno Positive,HMPV Test,HMPV Positive,Rhino Test,Rhino Positive,Coron Test,Coron Positive,A(UnS) Positive,Entero/Rhino Test,Entero/Rhino Positive,HCOV Test,HCOV Positive,SARS-CoV-2 Test,SARS-CoV-2 Positive,ADV Test,ADV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta,Alberta,2013-2014,2013,35,6.0,2013-08-31,227.0,1.0,0.0,4.0,0.0,4.0,227.0,2.0,227.0,5.0,0.0,0.0,0.0,0.0,227.0,1.0,227.0,0.0,227.0,48.0,227.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2021-2022,2022,29,6.0,2022-07-23,1636.0,1.0,17.0,26.0,0.0,26.0,1418.0,20.0,654.0,0.0,5.0,21.0,7.0,0.0,654.0,14.0,654.0,8.0,,,,,8.0,640.0,93.0,654.0,4.0,,,,,,,,
Alberta,Alberta,2015-2016,2016,21,6.0,2016-05-28,343.0,1.0,0.0,5.0,7.0,12.0,343.0,30.0,343.0,11.0,0.0,0.0,0.0,0.0,343.0,2.0,343.0,6.0,343.0,55.0,343.0,2.0,,,,,,,,,,,,,
Alberta,Alberta,2015-2016,2016,25,6.0,2016-06-25,314.0,0.0,0.0,0.0,3.0,3.0,314.0,13.0,314.0,19.0,0.0,0.0,0.0,0.0,314.0,4.0,314.0,1.0,314.0,39.0,314.0,1.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,49,6.0,2014-12-06,899.0,0.0,189.0,323.0,11.0,334.0,899.0,42.0,899.0,28.0,0.0,0.0,0.0,0.0,899.0,14.0,899.0,1.0,899.0,69.0,899.0,6.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2015,10,6.0,2015-03-07,649.0,0.0,5.0,8.0,45.0,53.0,649.0,129.0,649.0,29.0,0.0,0.0,0.0,0.0,649.0,13.0,649.0,11.0,649.0,59.0,649.0,31.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2015,14,6.0,2015-04-04,516.0,0.0,4.0,6.0,46.0,52.0,516.0,36.0,516.0,34.0,0.0,0.0,0.0,0.0,516.0,13.0,516.0,13.0,516.0,94.0,516.0,6.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,8,6.0,2021-02-27,2225.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,550.0,3.0,550.0,0.0,,,550.0,0.0,0.0,550.0,53.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2021-2022,2022,6,6.0,2022-02-12,1528.0,0.0,0.0,0.0,0.0,0.0,711.0,56.0,711.0,0.0,0.0,1.0,1.0,0.0,711.0,3.0,711.0,2.0,,,,,0.0,711.0,39.0,711.0,27.0,,,,,,,,
Alberta,Alberta,2015-2016,2016,20,6.0,2016-05-21,377.0,1.0,0.0,2.0,20.0,22.0,377.0,23.0,377.0,10.0,0.0,0.0,0.0,0.0,377.0,7.0,377.0,7.0,377.0,69.0,377.0,9.0,,,,,,,,,,,,,
Alberta,Alberta,2022-2023,2023,5,6.0,2023-02-04,3466.0,20.0,6.0,48.0,14.0,62.0,3068.0,322.0,1285.0,9.0,0.0,28.0,2.0,0.0,1285.0,17.0,1284.0,59.0,,,,,22.0,1250.0,102.0,1285.0,21.0,5447.0,568.0,,,,,,
Alberta,Alberta,2021-2022,2022,9,6.0,2022-03-05,1426.0,0.0,0.0,5.0,0.0,5.0,660.0,61.0,660.0,0.0,0.0,1.0,2.0,0.0,660.0,6.0,660.0,4.0,,,,,5.0,660.0,53.0,660.0,17.0,,,,,,,,
Alberta,Alberta,2021-2022,2022,18,6.0,2022-05-07,2448.0,0.0,77.0,253.0,0.0,253.0,995.0,81.0,995.0,0.0,8.0,3.0,8.0,0.0,995.0,8.0,995.0,42.0,,,,,176.0,995.0,59.0,995.0,21.0,,,,,,,,
Alberta,Alberta,2021-2022,2022,31,6.0,2022-08-06,1681.0,1.0,9.0,12.0,0.0,12.0,1523.0,19.0,745.0,0.0,5.0,16.0,3.0,0.0,743.0,10.0,744.0,3.0,,,,,2.0,729.0,66.0,745.0,6.0,,,,,,,,
Alberta,Alberta,2021-2022,2022,34,6.0,2022-08-27,1620.0,1.0,1.0,3.0,0.0,3.0,1413.0,11.0,694.0,0.0,3.0,10.0,0.0,0.0,693.0,14.0,694.0,7.0,,,,,1.0,689.0,83.0,694.0,1.0,,,,,,,,
