province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 44,5825,1044,3920,141,2023-11-04,20,5,166,6,3602,79,1128,10,2,5,0,0,1128,14,0,0,1118,128,1128,3
Atlantic, 44,2965,531,1914,2,2023-11-04,1,21,24,1,1904,41,492,2,2,1,6,0,492,10,492,1,492,84,476,1
British Columbia, 44,3648,580,3458,29,2023-11-04,5,3,86,4,3458,80,693,5,8,1,12,0,693,18,693,8,645,134,645,6
CANADA, 44,37956,6712,24183,199,2023-11-04,35,248,523,21,22822,924,9095,27,17,19,28,42,9113,158,8002,48,8014,848,7353,29
Centre-du-Québec, 44,2152,429,509,0,2023-11-04,0,3,3,0,507,39,38,2,1,2,0,0,38,2,38,0,N.C.,N.C.,38,0
EORLA, 44,1483,170,564,0,2023-11-04,0,1,1,0,564,75,36,0,0,0,0,0,36,0,36,0,36,8,36,0
Manitoba, 44,1635,355,1308,0,2023-11-04,1,6,7,0,1308,7,97,0,0,0,5,0,97,8,126,0,97,21,126,0
Montréal-Laval, 44,2636,361,1322,0,2023-11-04,0,9,9,1,1159,96,651,5,3,4,1,0,651,17,655,10,N.C.,N.C.,651,3
Montérégie, 44,1617,295,912,0,2023-11-04,0,18,18,2,878,48,4,0,0,0,0,0,4,1,4,0,N.C.,N.C.,4,0
New Brunswick, 44,918,122,829,2,2023-11-04,1,0,3,0,819,16,88,0,0,0,2,0,88,1,88,0,88,31,88,0
Newfoundland, 44,544,93,351,0,2023-11-04,0,15,15,0,351,3,351,1,2,1,1,0,351,7,351,1,351,38,351,1
Northwest Territories, 44,24,2,23,2,2023-11-04,0,0,2,0,23,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,23,1,N.C.,N.C.
Nova Scotia, 44,1328,290,660,0,2023-11-04,0,6,6,1,660,21,37,1,0,0,2,0,37,2,37,0,37,10,37,0
Nunavut, 44,111,15,79,0,2023-11-04,1,0,1,0,79,3,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 44,1629,383,633,0,2023-11-04,0,5,5,0,630,42,25,0,0,0,0,0,25,1,25,0,N.C.,N.C.,25,0
P.H.O.L. - Hamilton, 44,197,59,169,1,2023-11-04,0,0,0,0,169,6,131,0,0,0,0,1,131,3,131,1,131,14,131,0
P.H.O.L. - Kingston, 44,193,83,101,0,2023-11-04,0,0,0,0,101,5,72,0,0,0,0,1,72,2,72,0,72,10,72,0
P.H.O.L. - London, 44,485,192,365,3,2023-11-04,1,0,0,0,365,22,293,0,0,0,0,9,293,2,293,0,293,33,293,0
P.H.O.L. - Orillia, 44,19,4,61,1,2023-11-04,0,0,1,0,61,8,61,0,0,0,0,2,61,3,61,0,61,11,61,0
P.H.O.L. - Ottawa, 44,348,119,221,0,2023-11-04,0,0,0,0,221,6,132,0,0,0,0,1,132,0,132,0,132,22,132,10
P.H.O.L. - Peterborough, 44,58,33,67,0,2023-11-04,0,0,0,0,67,16,54,0,0,0,0,0,54,1,54,0,54,7,54,0
P.H.O.L. - Sault Ste. Marie, 44,28,20,9,0,2023-11-04,0,0,0,0,9,0,8,0,0,0,0,0,8,0,8,0,8,1,8,0
P.H.O.L. - Sudbury, 44,63,39,39,0,2023-11-04,0,0,0,0,39,0,14,0,0,0,0,1,14,0,14,0,14,1,14,0
P.H.O.L. - Thunder Bay, 44,47,22,20,0,2023-11-04,0,0,0,0,20,0,14,0,0,0,0,0,14,0,14,0,14,2,14,0
P.H.O.L. - Timmins, 44,55,31,43,0,2023-11-04,0,0,0,0,43,0,28,0,0,0,0,1,28,1,28,0,28,5,28,0
P.H.O.L. - Toronto, 44,515,202,994,6,2023-11-04,3,0,6,1,994,32,895,0,0,0,0,21,895,11,895,6,895,91,895,1
