Reporting Laboratory,Week,SARS-CoV-2 Tested,SARS-CoV-2 Positive,Flu Tested,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Tested,RSV Positive,HPIV Tested,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Tested,ADV Positive,HMPV Tested,HMPV Positive,EV/RV Tested,EV/RV Positive,HCoV Tested,HCoV Positive
Alberta, 3,5151,526,4414,136,20,10,166,75,4183,333,1002,2,1,9,0,0,1002,13,961,2,987,58,1002,33
Alberta, 50,7124,733,6704,1164,34,95,1706,56,6140,394,1503,6,6,14,0,0,1503,21,1466,0,1486,68,1503,29
Alberta, 37,4295,524,2712,8,0,1,9,0,2560,7,797,2,4,1,0,0,797,6,797,0,791,162,797,0
Alberta, 9,4641,356,4222,37,31,4,79,223,3993,143,1043,5,2,28,0,0,1043,10,977,3,1026,78,1043,47
Alberta, 49,7459,860,5452,1051,39,56,1458,32,5089,288,1133,2,4,9,0,0,1133,15,1114,1,1125,71,1133,20
Alberta, 5,4916,520,4435,46,29,3,97,109,4197,283,1069,1,1,22,0,0,1069,8,1026,0,1060,77,1069,29
Alberta, 48,6170,747,4881,729,30,71,830,21,4589,196,1170,5,5,2,0,0,1170,14,1156,0,1152,75,1170,7
Alberta, 41,5590,972,2636,10,3,0,13,1,2357,16,29,1,0,0,0,0,29,0,29,0,28,4,29,1
Alberta, 47,6580,909,4229,611,32,61,704,14,3950,164,999,6,3,4,0,0,998,12,987,4,993,73,999,8
Alberta, 52,6031,566,5892,859,22,50,931,74,5657,529,1295,3,2,10,0,0,1294,16,1267,0,1289,53,1295,28
Alberta, 46,6281,1012,4604,590,22,51,663,11,4355,178,1070,6,0,7,0,0,1070,10,1021,0,1046,92,1070,14
Alberta, 6,4803,479,4472,55,23,4,87,142,4231,248,1205,4,0,17,0,0,1203,10,1166,0,1182,85,1205,63
Alberta, 45,5761,923,3484,227,22,17,266,13,3242,81,850,4,4,4,0,0,850,13,832,0,834,83,850,4
Alberta, 44,5825,1044,3920,141,20,5,166,6,3602,79,1128,10,2,5,0,0,1128,14,0,0,1118,128,1128,3
Alberta, 8,4180,350,4260,29,15,4,52,231,4040,237,1058,0,3,15,0,0,1058,9,982,1,1050,72,1058,70
Alberta, 40,5519,932,2855,19,1,2,22,5,2604,12,435,0,0,0,0,0,435,3,434,0,426,95,435,1
Alberta, 43,5528,900,3042,48,13,1,62,7,2852,40,643,2,1,0,0,0,643,8,42,0,634,104,643,3
Alberta, 7,4776,435,4421,40,24,2,75,162,4162,183,1151,2,0,25,0,0,1151,16,1119,1,1139,92,1151,62
Alberta, 42,5759,1023,2660,29,5,1,35,4,2385,13,30,0,0,0,0,0,30,1,30,0,29,8,30,0
Alberta, 39,5098,758,3034,21,0,1,22,2,2847,13,861,3,3,2,0,0,861,10,860,0,853,165,861,4
Alberta, 4,5039,468,4326,52,16,9,98,88,4086,251,1010,3,1,12,0,0,1009,16,966,2,1002,60,1010,39
Alberta, 38,4603,612,3037,12,2,0,14,0,2845,11,878,2,2,0,0,0,878,7,875,0,868,177,878,3
Alberta, 36,3502,391,2282,7,4,0,11,2,2180,4,705,3,2,1,0,0,705,9,702,0,695,100,705,5
Alberta, 35,N.R.,N.R.,1355,3,3,0,6,0,1282,2,468,1,1,1,2,0,468,9,342,0,456,50,468,3
Alberta, 1,6203,676,5855,561,41,36,638,80,5526,437,1317,3,1,12,0,0,1317,17,1277,0,1300,49,1317,36
Alberta, 2,5555,592,5132,234,24,21,279,67,4802,376,1229,5,4,12,0,0,1229,16,1167,1,1213,62,1229,47
Atlantic, 3,3750,399,3422,0,0,487,487,32,2936,291,704,0,4,0,5,0,704,11,704,11,704,30,704,36
Atlantic, 47,3490,780,2521,20,0,96,116,1,2363,111,620,2,1,0,8,0,620,17,620,6,620,74,620,4
Atlantic, 46,3186,716,2219,13,2,54,69,2,2195,53,500,1,1,0,9,0,500,23,500,2,500,71,500,1
Atlantic, 5,3908,342,3592,44,3,480,527,73,3219,305,778,1,3,5,1,0,778,23,778,19,778,37,778,38
Atlantic, 38,2629,500,1388,0,0,1,1,0,1381,18,429,4,2,1,5,0,429,5,429,0,429,118,429,0
Atlantic, 45,3122,628,2069,2,1,39,42,3,2058,57,467,1,3,0,9,0,467,12,467,1,467,78,467,4
